Title,Author,Identifier,Inventory,Count,Rate,Publisher,PublishedDate
十天搞定考研词汇:便携版.第2版,"王江涛, 刘文涛编著",G643:H313/124=2,2,4,2.0,浙江教育出版社,2019.01
丹尼尔斯经典跑步训练法:世界最佳跑步教练的跑步公式,(美) 杰克·丹尼尔斯著,G822.02/1=3,4,4,1.0,浙江人民出版社,2014
机械原理与机械设计考研宝典,刘演冰主编,G643:TH111/2,6,4,0.67,华中科技大学出版社,2022
2023年操作系统考研复习指导,王道论坛组编,G643:TP/37(2023),6,4,0.67,电子工业出版社,2021
大学生就业指导,"赵秋, 黄妮妮, 姚瑶主编",G647.38/353,6,4,0.67,北京师范大学出版社,2020
新时代大学生就业指导:课程思政版,主编陈飞,G647.38/341,6,4,0.67,厦门大学出版社,2020
父权制与资本主义,(日) 上野千鹤子著,G131.3/17,4,4,1.0,浙江大学出版社,2020
"考研数学复习大全,数学一:2023",汤家凤编著,G643:O13/259-1(2023),4,4,1.0,中国政法大学出版社,2022
弱传播:舆论世界的哲学:the law of the jungle in the public opinion world,邹振东著,G206/53,6,4,0.67,国家行政学院出版社,2018
小鹿学姐材料力学考研150分真题真练,小鹿学姐主编,G643:TB301/2,4,3,0.75,北京理工大学出版社,2022
白话计算机网络:计算机网络考研辅导,崔鸿编著,G643:TP393/4,4,3,0.75,电子工业出版社,2022
"数学历年试题解析,数学一",主编李正元 ... [等],G643:O/101-1(2020),6,3,0.5,中国政法大学出版社,2019
形势与政策,主编杨晓慧,G641.41/14,6,3,0.5,东南大学出版社,2020
如何阅读一本书,"(美) 莫提默·J. 艾德勒, 查尔斯·范多伦著",G792/59,2,3,1.5,商务印书馆,2014
张宇概率论与数理统计9讲,主编张宇,G643:O21/12(2021),6,3,0.5,高等教育出版社,2020
象棋入门一本就够,于川，刘君，吴秉铁编著,G891.2/42,6,3,0.5,化学工业出版社,2016.05
跨文化传播简明英语教程,孙万军编著,G115-43/1,6,3,0.5,中国人民大学出版社,2017
材料力学,"刘杰民, 乔燕编著",G643:TB301/1,6,3,0.5,中国电力出版社,2020
